version,2013-11-01,2014-11-01,2015-11-01,2016-05-01,2016-11-01,2017-05-01,2017-11-01,2018-05-01,2018-11-01,2019-05-01,2019-11-01,2020-05-01,2020-11-01,2021-06-01,2022-01-01,2022-07-01,2023-01-11,2023-07-01,2024-01-01,2024-07-01,2025-01-01,2025-06-01,2026-01-01,2026-07-01
5.3,0.37,0.15,0.10,0.02,0.02,0.01,0.01,0.00,,,,,,,,,,,,,,,,
5.4,0.50,0.29,0.16,0.08,0.05,0.03,0.02,0.01,0.01,0.00,,,,,,,,,,,,,,
5.5,0.12,0.49,0.51,0.30,0.19,0.11,0.06,0.04,0.02,0.02,0.00,,,,,,,,,,,,,
5.6,,0.08,0.22,0.40,0.37,0.31,0.23,0.16,0.12,0.08,0.07,0.05,0.03,0.00,,,,,,,,,,
7.0,,0.00,0.01,0.20,0.35,0.36,0.31,0.23,0.19,0.09,0.06,0.04,0.03,0.01,0.01,0.01,0.01,,,,,,,
7.1,,,,0.00,0.01,0.18,0.37,0.35,0.32,0.26,0.15,0.12,0.07,0.04,0.02,0.02,0.02,0.01,0.01,,,,,
7.2,,,,,,,0.00,0.20,0.33,0.39,0.32,0.27,0.15,0.10,0.07,0.05,0.04,0.04,0.03,0.02,0.02,0.02,,
7.3,,,,,,,,,0.00,0.15,0.35,0.30,0.27,0.19,0.12,0.08,0.05,0.04,0.03,0.02,0.02,0.01,0.02,
7.4,,,,,,,,,,0.00,0.03,0.20,0.43,0.47,0.44,0.38,0.28,0.20,0.14,0.10,0.08,0.07,0.05,0.05
8.0,,,,,,,,,,,,,0.00,0.15,0.24,0.21,0.16,0.12,0.07,0.05,0.03,0.03,0.02,0.01
8.1,,,,,,,,,,,,,,0.00,0.09,0.25,0.39,0.39,0.35,0.26,0.18,0.13,0.08,0.05
8.2,,,,,,,,,,,,,,,,0.00,0.05,0.17,0.29,0.32,0.29,0.25,0.2,0.14
8.3,,,,,,,,,,,,,,,,,,0.00,0.06,0.20,0.33,0.34,0.3,0.24
8.4,,,,,,,,,,,,,,,,,,,,0.00,0.05,0.14,0.27,0.32
8.5,,,,,,,,,,,,,,,,,,,,,,,0.05,0.16